City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nar'yan-mar,67.6713,53.087,-7.65,97,97,1.77,RU,1739330251
1,west island,-12.1568,96.8225,28.99,84,75,7.72,CC,1739330471
2,cockburn town,21.4612,-71.1419,25.33,80,5,9.95,TC,1739330472
3,kabalo,-6.05,26.9167,20.78,97,100,0.69,CD,1739330473
4,bethel,41.3712,-73.414,-0.55,70,100,0.45,US,1739330442
5,hermanus,-34.4187,19.2345,19.33,84,0,4.66,ZA,1739330475
6,chifeng,42.2683,118.9636,-5.49,32,0,7.32,CN,1739330476
7,adamstown,-25.066,-130.1015,25.76,72,86,0.37,PN,1739330477
8,caleta de carquin,-11.0925,-77.6267,23.57,80,100,1.88,PE,1739330478
9,borkum,53.5809,6.6915,1.15,97,100,8.72,DE,1739330211
10,menaka,15.9182,2.4022,24.59,18,11,5.74,ML,1739330480
11,lospalos,-8.5186,127.0025,26.56,75,100,7.36,TL,1739330482
12,papatowai,-46.5619,169.4708,16.04,68,11,4.24,NZ,1739330483
13,mo i rana,66.3128,14.1428,1.26,91,95,2.24,NO,1739330484
14,al jawf,29.5,38.75,6.8,54,0,1.89,SA,1739330485
15,edinburgh of the seven seas,-37.0676,-12.3116,14.61,57,22,2.77,SH,1739330486
16,whitehorse,60.7161,-135.0538,-22.57,77,0,1.03,CA,1739330487
17,puerto natales,-51.7236,-72.4875,8.57,84,100,5.43,CL,1739330488
18,kodiak,57.79,-152.4072,3.73,93,100,7.72,US,1739330489
19,port-aux-francais,-49.35,70.2167,6.34,82,100,8.81,TF,1739330490
20,stanley,54.868,-1.6985,3.07,88,100,5.66,GB,1739330491
21,longyearbyen,78.2186,15.6401,-8.09,62,40,8.23,SJ,1739330493
22,lebu,-37.6167,-73.65,13.85,78,0,9.29,CL,1739330218
23,bonthe,7.5264,-12.505,24.26,89,9,1.71,SL,1739330496
24,kenai,60.5544,-151.2583,-2.95,75,0,2.57,US,1739330497
25,byron bay,-28.65,153.6167,27.23,69,36,4.8,AU,1739330498
26,cova figueira,14.8905,-24.2934,14.81,73,99,6.42,CV,1739330500
27,beaufort west,-32.3567,22.583,21.15,35,0,2.48,ZA,1739330501
28,waitangi,-43.9535,-176.5597,16.01,82,100,2.24,NZ,1739330503
29,grytviken,-54.2811,-36.5092,3.7,97,100,6.25,GS,1739330504
30,leh,34.1667,77.5833,-19.71,100,100,0.79,IN,1739330505
31,prince george,53.9166,-122.753,-13.31,78,100,0.0,CA,1739330506
32,aasiaat,68.7098,-52.8699,3.06,61,100,7.92,GL,1739330507
33,kavaratti,10.5669,72.642,27.89,68,88,3.58,IN,1739330352
34,mersing,2.4312,103.8405,28.95,74,40,2.57,MY,1739330509
35,ilulissat,69.2167,-51.1,7.01,39,100,11.83,GL,1739330510
36,taco pozo,-25.6167,-63.2833,32.61,30,29,4.78,AR,1739330307
37,bramming,55.4695,8.7001,0.08,86,75,8.75,DK,1739330512
38,zabaykal'sk,49.6333,117.3167,-18.43,93,17,4.06,RU,1739330513
39,puerto ayora,-0.7393,-90.3518,23.64,100,51,1.34,EC,1739330515
40,tiksi,71.6872,128.8694,-28.52,99,100,1.93,RU,1739330516
41,chonchi,-42.6128,-73.8092,8.95,97,11,1.56,CL,1739330517
42,hammerfest,70.6634,23.6821,0.25,64,100,6.17,NO,1739330518
43,remire-montjoly,4.9167,-52.2667,24.02,94,75,3.6,GF,1739330519
44,inyonga,-6.7167,32.0667,17.34,96,73,1.66,TZ,1739330520
45,albany,42.6001,-73.9662,-5.2,79,100,1.25,US,1739330423
46,genhe,50.7833,121.5167,-17.12,88,99,1.86,CN,1739330522
47,dudinka,69.4058,86.1778,-28.32,100,98,0.46,RU,1739330523
48,porto novo,6.4965,2.6036,27.9,89,90,2.79,BJ,1739330524
49,thompson,55.7435,-97.8558,-28.91,76,20,2.57,CA,1739330525
50,arraial do cabo,-22.9661,-42.0278,24.07,89,100,9.72,BR,1739330526
51,mitchell,43.7094,-98.0298,-19.01,71,100,0.0,US,1739330231
52,morondava,-20.2833,44.2833,27.07,79,55,0.25,MG,1739330529
53,talnakh,69.4865,88.3972,-26.71,97,88,0.65,RU,1739330489
54,zouerate,22.7187,-12.4521,17.72,12,100,3.69,MR,1739330473
55,ushuaia,-54.8,-68.3,4.81,87,100,4.12,AR,1739330445
56,kununurra,-15.7667,128.7333,32.99,66,40,5.14,AU,1739330533
57,san rafael,-34.6177,-68.3301,21.22,18,0,2.41,AR,1739330534
58,nosy varika,-20.5833,48.5333,25.64,90,100,1.22,MG,1739330535
59,hadibu,12.65,54.0333,23.15,81,43,4.54,YE,1739330536
